window size, average # of foreign window, total # of windows
1, 531.100000, 291
2, 919.800000, 4428
3, 1275.850000, 9871
4, 1264.450000, 13837
5, 1727.000000, 16521
6, 1112.350000, 18464
7, 981.550000, 19638
8, 1196.550000, 20415
9, 1086.000000, 20982
10, 1035.350000, 21114
11, 952.450000, 21294
12, 941.450000, 21134
13, 879.250000, 21127
14, 830.700000, 21038
15, 773.750000, 20729
16, 730.300000, 20489
17, 698.300000, 20195
18, 663.200000, 19878
19, 633.250000, 19514
20, 602.700000, 19128
21, 579.800000, 18819
22, 556.200000, 18438
23, 538.800000, 18067
24, 520.050000, 17622
25, 495.150000, 17346
26, 486.050000, 16954
27, 467.300000, 16626
28, 452.550000, 16209
29, 436.450000, 15900
30, 421.950000, 15460
31, 410.450000, 15207
32, 399.950000, 14825
33, 386.200000, 14481
34, 375.550000, 14192
35, 364.550000, 13845
36, 355.600000, 13548
37, 346.050000, 13239
38, 336.650000, 12977
39, 328.950000, 12629
40, 321.800000, 12362
41, 313.200000, 12161
42, 305.100000, 11885
43, 298.850000, 11616
44, 292.400000, 11409
45, 286.100000, 11132
46, 280.350000, 10944
47, 274.150000, 10733
48, 270.100000, 10510
49, 263.350000, 10338
50, 258.200000, 10129
51, 252.950000, 9958
52, 248.750000, 9771
53, 244.050000, 9625
54, 2480.800000, 9448
55, 235.350000, 9265
56, 232.100000, 9114
57, 2350.450000, 8972
58, 2309.350000, 8831
59, 219.600000, 8676
60, 2233.400000, 8545
61, 2196.800000, 8414
62, 2161.500000, 8294
63, 206.650000, 8170
64, 203.900000, 8036
65, 200.250000, 7922
66, 197.200000, 7834
67, 193.900000, 7733
68, 1970.800000, 7602
69, 1942.500000, 7486
70, 1914.500000, 7371
71, 1887.550000, 7312
72, 1862.450000, 7186
73, 1836.100000, 7116
74, 1811.400000, 7010
75, 1787.350000, 6917
76, 1763.700000, 6846
77, 1740.850000, 6739
78, 1719.000000, 6654
79, 1696.750000, 6590
80, 1676.150000, 6477
81, 1655.400000, 6443
82, 1635.050000, 6362
83, 1615.700000, 6287
84, 1596.300000, 6218
85, 1577.350000, 6135
86, 1559.400000, 6069
87, 1540.750000, 6005
88, 1524.400000, 5933
89, 1507.150000, 5878
90, 1490.300000, 5796
91, 1473.950000, 5752
92, 1457.850000, 5690
93, 1442.650000, 5637
94, 1427.250000, 5576
95, 1411.850000, 5507
96, 1397.650000, 5460
97, 1383.500000, 5410
98, 1369.050000, 5360
99, 1355.450000, 5308
100, 1341.950000, 5239
101, 1328.300000, 5217
102, 1315.300000, 5151
103, 1302.700000, 5109
104, 1290.900000, 5047
105, 1277.750000, 4986
106, 1265.650000, 4969
107, 1254.500000, 4922
108, 1242.600000, 4879
109, 1231.550000, 4837
110, 1219.650000, 4781
111, 1209.200000, 4753
112, 1199.200000, 4693
113, 1187.650000, 4667
114, 1177.550000, 4634
115, 1167.350000, 4572
116, 1157.150000, 4549
117, 1147.600000, 4513
118, 1137.650000, 4478
119, 1128.200000, 4439
120, 1118.900000, 4386
121, 1109.950000, 4368
122, 1100.500000, 4328
123, 1091.450000, 4310
124, 1082.800000, 4272
125, 1074.200000, 4221
126, 1065.600000, 4209
127, 1056.700000, 4173
128, 1049.200000, 4138
129, 1041.250000, 4107
130, 1032.950000, 4061
131, 1025.200000, 4043
132, 1017.250000, 4016
133, 1009.700000, 3989
134, 1002.150000, 3965
135, 995.250000, 3914
136, 987.850000, 3902
137, 980.600000, 3879
138, 973.350000, 3844
139, 966.600000, 3817
140, 959.800000, 3784
141, 952.600000, 3766
142, 946.050000, 3746
143, 939.250000, 3724
144, 932.950000, 3691
145, 926.150000, 3653
146, 919.950000, 3643
147, 914.300000, 3608
148, 907.900000, 3589
149, 901.600000, 3576
150, 895.550000, 3537
151, 889.850000, 3518
152, 884.100000, 3499
153, 878.000000, 3482
154, 872.400000, 3460
155, 866.850000, 3434
156, 861.550000, 3406
157, 856.200000, 3389
158, 850.150000, 3375
159, 845.800000, 3348
160, 839.950000, 3311
161, 834.750000, 3307
162, 829.650000, 3290
163, 824.800000, 3269
164, 819.400000, 3252
165, 814.800000, 3220
166, 809.550000, 3216
167, 805.250000, 3192
168, 800.300000, 3165
169, 795.450000, 3161
170, 790.700000, 3138
171, 786.100000, 3130
172, 781.450000, 3104
173, 777.050000, 3083
174, 772.250000, 3071
175, 768.050000, 3050
176, 763.850000, 3024
177, 759.950000, 3015
178, 755.550000, 3002
179, 751.450000, 2991
180, 747.100000, 2964
181, 742.900000, 2954
182, 739.050000, 2938
183, 734.950000, 2917
184, 730.650000, 2901
185, 727.050000, 2889
186, 723.250000, 2878
187, 719.500000, 2857
188, 715.600000, 2848
189, 711.400000, 2833
190, 707.850000, 2812
191, 704.150000, 2806
192, 700.600000, 2782
193, 697.300000, 2778
194, 693.750000, 2758
195, 689.950000, 2748
196, 686.300000, 2736
197, 682.750000, 2725
198, 679.350000, 2704
199, 675.800000, 2691
200, 672.650000, 2674
201, 669.350000, 2665
202, 666.150000, 2656
203, 662.550000, 2643
204, 659.400000, 2633
205, 656.200000, 2613
206, 653.100000, 2606
207, 650.150000, 2593
208, 647.100000, 2576
209, 643.750000, 2577
210, 640.600000, 2552
211, 637.600000, 2548
212, 634.600000, 2528
213, 631.850000, 2522
214, 628.900000, 2510
215, 626.100000, 2492
216, 623.000000, 2484
217, 620.250000, 2480
218, 617.400000, 2465
219, 614.200000, 2454
220, 611.600000, 2441
221, 608.800000, 2436
222, 606.050000, 2425
223, 603.600000, 2411
224, 600.750000, 2390
225, 598.150000, 2387
226, 595.350000, 2381
227, 592.850000, 2370
228, 590.450000, 2366
229, 587.750000, 2349
230, 585.450000, 2334
231, 582.850000, 2325
232, 580.300000, 2316
233, 578.050000, 2312
234, 575.250000, 2301
235, 572.900000, 2290
236, 570.450000, 2282
237, 568.150000, 2267
238, 565.600000, 2262
239, 563.450000, 2249
240, 561.000000, 2238
241, 558.950000, 2230
242, 556.750000, 2226
243, 554.250000, 2220
244, 551.700000, 2207
245, 549.600000, 2197
246, 547.350000, 2192
247, 544.850000, 2183
248, 542.800000, 2177
249, 540.900000, 2167
250, 538.750000, 2151
251, 536.650000, 2149
252, 534.550000, 2140
253, 532.500000, 2129
254, 530.050000, 2119
255, 528.200000, 2117
256, 526.100000, 2103
257, 524.100000, 2098
258, 522.000000, 2093
259, 520.000000, 2083
260, 517.850000, 2077
261, 515.900000, 2068
262, 514.150000, 2061
263, 512.300000, 2050
264, 510.200000, 2039
265, 508.200000, 2040
266, 506.400000, 2027
267, 504.700000, 2021
268, 502.500000, 2016
269, 501.000000, 2008
270, 499.150000, 1999
271, 497.300000, 1997
272, 495.250000, 1984
273, 493.550000, 1976
274, 491.650000, 1973
275, 489.950000, 1964
276, 488.150000, 1960
